date_delivrance,lead_cat,priorite,commune,prefecture,region,nature,building_type,floors,n_units_stated,surface,resume,adp,n_permis,dossier_id,lat,lon
2026-07-10,industriel,normale,COMMUNE DE TEMARA,PREFECTURE SKHIRATE TEMARA,REGION DE RABAT-SALE-KENITRA,Modification / Aménagement,industriel,0,0,4631.0,industriel · 4 631 m2,zone industrielle ATTASNIA lot 56,GUtmr-0255/2026,784448,33.93564,-6.90192
2026-07-10,industriel,haute,COMMUNE DE SIDI ETTIJI,PROVINCE DE SAFI,REGION DE MARRAKECH-SAFI,Construction,industriel,0,0,78734.0,industriel · 78 734 m2,Propriété dite : Blad Oulad Naim,GUcsei-0005/2026,725770,32.1889,-8.89821
2026-07-09,hotellerie,haute,ARRONDISSEMENT D'AGDAL,PREFECTURE DE FES,REGION DE FES-MEKNES,Modification / Aménagement,hotel,0,0,28277.0,hotel · 28 277 m2,"Arrondissement Agdal, Rte Meknes, Lotissement Oued Fes",GUcfes-0144/2026,770229,34.05339,-5.01341
2026-07-09,hotellerie,normale,ARRONDISSEMENT DE FES-MEDINA,PREFECTURE DE FES,REGION DE FES-MEKNES,Modification / Aménagement,hotel,0,0,316.0,hotel · 316 m2,Sidi Khayat-N°10 Douh,GUcfes-0142/2026,805511,34.06066,-4.97964
2026-07-09,industriel,normale,COMMUNE DE HARBIL,PREFECTURE DE MARRAKECH,REGION DE MARRAKECH-SAFI,Construction,industriel,0,0,1889.0,industriel · 1 889 m2,TAMENSOURT VII-11H,GUchbl-0346/2026,770713,31.76629,-8.11299
2026-07-09,grands_projets,normale,COMMUNE DE SIDI ALLAL EL BAHRAOUI,PROVINCE DE KHEMISSAT,REGION DE RABAT-SALE-KENITRA,Construction,social,2,0,80.0,social · R+2 · 80 m2,LOT N° 923 LOTISSEMENT JNANE SIDI ALLAL BAHRAOUI,GUcaeb-0198/2026,761938,33.99457,-6.53073
2026-07-09,grands_projets,normale,COMMUNE DE HARBIL,PREFECTURE DE MARRAKECH,REGION DE MARRAKECH-SAFI,Construction,social,0,0,66.0,social · 66 m2,Lotissement Tamansourt T 7-52V,GUchbl-0399/2026,791683,31.76829,-8.10848
2026-07-09,lotissements,haute,COMMUNE D'AGHBALOU AQORAR,PROVINCE DE SEFROU,REGION DE FES-MEKNES,Morcellement,autre,0,0,71966.0,71 966 m2,Cooperative Mohammadia,GUcaar-0022/2026,806268,33.91917,-4.91189
2026-07-09,grands_projets,haute,COMMUNE BOUSKOURA,PROVINCE NOUACEUR,REGION DE CASABLANCA-SETTAT,Groupement d'habitations,agricole,2,0,8527.0,agricole · R+2 · 8 527 m2 · sous-sol,"P645, CASA GREEN TOWN BOUSKOURA, MUNICIPALITÉ DE BOUSKOURA",GUbsk-0219/2026,760839,33.48998,-7.60598
2026-07-09,grands_projets,normale,ARRONDISSEMENT DE SAISS,PREFECTURE DE FES,REGION DE FES-MEKNES,Groupement d'habitations,villa,2,0,1762.0,villa · R+2 · 1 762 m2 · sous-sol,Quartier Route Ain Chkef,GUcfes-0125/2026,695302,34.00857,-5.00879
